isbn13,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count
,Do bāṭo,Lil Bahadur Chettri,Nepali Literature,"A Nepali literary work titled 'Do bāṭo' by Lil Bahadur Chettri, featuring the stories, culture and voice of Nepal.",1967,0.0,44,0
9780710309686.0,Japan,Lil Bahadur Chettri,Nepali Literature,"A Nepali literary work titled 'Japan' by Lil Bahadur Chettri, featuring the stories, culture and voice of Nepal.",2006,0.0,348,0
,Basāim̐,Lil Bahadur Chettri,Nepali Literature,"A Nepali literary work titled 'Basāim̐' by Lil Bahadur Chettri, featuring the stories, culture and voice of Nepal.",1964,0.0,102,0
9781322662657.0,Mountains Painted with Turmeric,Lila Bahadura Kshatri; Michael Hutt; Lil Bahadur Chettri,Nepali Literature,"A Nepali literary work titled 'Mountains Painted with Turmeric' by Lila Bahadura Kshatri, featuring the stories, culture and voice of Nepal.",2007,0.0,152,0
,Bimba-pratibimba,Shankar Lamichhane,Nepali Literature,"A Nepali literary work titled 'Bimba-pratibimba' by Shankar Lamichhane, featuring the stories, culture and voice of Nepal.",1971,0.0,159,0
9789937931281.0,Shankar Lamichhane,Shankar Lamichhane,Nepali Literature,"A Nepali literary work titled 'Shankar Lamichhane' by Shankar Lamichhane, featuring the stories, culture and voice of Nepal.",2018,0.0,0,0
,Ebsaṭryākṭa cintana-pyāja,Shankar Lamichhane,Nepali Literature,"A Nepali literary work titled 'Ebsaṭryākṭa cintana-pyāja' by Shankar Lamichhane, featuring the stories, culture and voice of Nepal.",1967,0.0,61,0
,Godhūlī saṃsāra,Shankar Lamichhane,Nepali Literature,"A Nepali literary work titled 'Godhūlī saṃsāra' by Shankar Lamichhane, featuring the stories, culture and voice of Nepal.",1970,0.0,88,0
9789937909099.0,Kavishiromani Rachanawalee Vol. 2,Lekhnath Paudyal; Sanat Kumar Wasti,Nepali Literature,"A Nepali literary work titled 'Kavishiromani Rachanawalee Vol. 2' by Lekhnath Paudyal, featuring the stories, culture and voice of Nepal.",2018,0.0,470,0
9789937921220.0,Kavishiromani Rachanawalee Vol. 5,Saran Kumar Wasti; Lekhnath Paudyal,Nepali Literature,"A Nepali literary work titled 'Kavishiromani Rachanawalee Vol. 5' by Saran Kumar Wasti, featuring the stories, culture and voice of Nepal.",2018,0.0,356,0
